UV;Pigmentation;Total_Cell;Lymphocyte;Neutrophil;Basophil;Monocyte;Eosinophil
1.CT;Yes;100;80;18;0;0;2
1.CT;Yes;100;74;17;6;0;3
1.CT;Yes;100;78;22;0;0;0
1.CT;Yes;100;87;13;0;0;0
1.CT;Yes;100;74;21;1;0;4
2.6h;Yes;100;95;4;0;0;1
2.6h;Yes;100;73;16;9;0;2
2.6h;Yes;100;77;20;4;0;0
2.6h;Yes;100;61;27;11;0;1
2.6h;Yes;100;81;4;0;2;3
3.12h;Yes;100;90;7;0;0;3
3.12h;Yes;100;80;17;0;0;3
3.12h;Yes;100;92;5;3;0;0
3.12h;Yes;100;76;21;3;0;0
3.12h;Yes;100;51;44;1;1;3
4.18h;Yes;100;62;27;5;5;1
4.18h;Yes;100;88;4;3;3;2
4.18h;Yes;100;59;41;0;0;0
4.18h;Yes;100;51;21;0;14;14
4.18h;Yes;100;53;25;21;1;0
5.24h;Yes;100;42;47;0;5;6
5.24h;Yes;100;37;59;3;0;1
5.24h;Yes;100;62;37;0;0;1
5.24h;Yes;100;56;42;0;1;1
5.24h;Yes;100;80;28;0;0;3
1.CT;No;100;95;5;0;0;0
1.CT;No;100;93;5;0;0;2
1.CT;No;100;90;10;0;0;0
1.CT;No;100;5;18;6;1;70
1.CT;No;100;67;25;0;1;7
2.6h;No;100;67;18;5;8;2
2.6h;No;100;20;18;0;1;61
2.6h;No;100;85;11;3;1;0
2.6h;No;100;71;20;4;5;0
2.6h;No;100;87;8;1;1;3
3.12h;No;100;39;7;12;1;41
3.12h;No;100;78;3;7;1;11
3.12h;No;100;45;21;10;1;23
3.12h;No;100;58;5;10;0;27
3.12h;No;100;50;10;26;0;14
4.18h;No;100;46;27;0;14;13
4.18h;No;100;58;29;0;3;10
4.18h;No;100;52;14;0;16;18
4.18h;No;100;81;14;0;0;5
4.18h;No;100;84;2;3;9;2
5.24h;No;100;44;13;0;19;27
5.24h;No;100;63;10;0;27;0
5.24h;No;100;65;18;0;15;2
5.24h;No;100;68;15;0;12;5
5.24h;No;100;41;22;0;18;19